run_id,run_name,transformer_backbone,d_model,model_name,transformer_type,randomly_initialize_backbone,patch_length,random_seed,initial_lr,mask_ratio,train_batch_size,torch_dtype,train_ratio,val_ratio,test_ratio,hostname,git_commit,notes,gpu_type,program,code_path,args,username,execution_start_time,dataset_names
cbif1hf4,golden-thunder-782,google/flan-t5-large,,DGHL,encoder_only,True,8,1,0.001,0.3,64,bfloat16,0.4,0.3,0.3,gpu29.int.autonlab.org,9995c6189ff0e025c5d793746f1870e48a4b36cb,Anomaly detection using DGHL,NVIDIA RTX A6000,/zfsauton2/home/XXXX-2/BETT/scripts/baselines/dghl_anomaly_detection.py,scripts/baselines/dghl_anomaly_detection.py,"['--config', '../../configs/anomaly_detection/dghl_train.yaml', '--gpu_id', '4', '--dataset_names', '/XXXX-14/project/public/XXXX-9/TimeseriesDatasets/anomaly_detection/TSB-UAD-Public/KDD21/180_UCR_Anomaly_ltstdbs30791ES_20000_52600_52800.out']",XXXX-2,2024-01-18T10:49:09.919123,/XXXX-14/project/public/XXXX-9/TimeseriesDatasets/anomaly_detection/TSB-UAD-Public/KDD21/180_UCR_Anomaly_ltstdbs30791ES_20000_52600_52800.out
nyczi2xp,woven-firefly-781,google/flan-t5-large,512.0,AnomalyTransformer,encoder_only,True,8,13,0.0001,0.3,64,bfloat16,0.5,0.2,0.3,gpu29.int.autonlab.org,9995c6189ff0e025c5d793746f1870e48a4b36cb,Anomaly detection using Anomaly Transformer,NVIDIA RTX A6000,/zfsauton2/home/XXXX-2/BETT/scripts/baselines/anomaly_transformer_anomaly_detection.py,scripts/baselines/anomaly_transformer_anomaly_detection.py,"['--config', '../../configs/anomaly_detection/anomaly_transformer_train.yaml', '--gpu_id', '5', '--dataset_names', '/XXXX-14/project/public/XXXX-9/TimeseriesDatasets/anomaly_detection/TSB-UAD-Public/KDD21/167_UCR_Anomaly_gait1_20000_38500_38800.out']",XXXX-2,2024-01-18T10:47:07.615122,/XXXX-14/project/public/XXXX-9/TimeseriesDatasets/anomaly_detection/TSB-UAD-Public/KDD21/167_UCR_Anomaly_gait1_20000_38500_38800.out
u0coot0n,vague-violet-780,google/flan-t5-large,512.0,AnomalyTransformer,encoder_only,True,8,13,0.0001,0.3,64,bfloat16,0.5,0.2,0.3,gpu29.int.autonlab.org,9995c6189ff0e025c5d793746f1870e48a4b36cb,Anomaly detection using Anomaly Transformer,NVIDIA RTX A6000,/zfsauton2/home/XXXX-2/BETT/scripts/baselines/anomaly_transformer_anomaly_detection.py,scripts/baselines/anomaly_transformer_anomaly_detection.py,"['--config', '../../configs/anomaly_detection/anomaly_transformer_train.yaml', '--gpu_id', '5', '--dataset_names', '/XXXX-14/project/public/XXXX-9/TimeseriesDatasets/anomaly_detection/TSB-UAD-Public/KDD21/166_UCR_Anomaly_apneaecg_10000_12240_12308.out']",XXXX-2,2024-01-18T10:31:58.308442,/XXXX-14/project/public/XXXX-9/TimeseriesDatasets/anomaly_detection/TSB-UAD-Public/KDD21/166_UCR_Anomaly_apneaecg_10000_12240_12308.out
piyus2ue,devoted-plasma-779,google/flan-t5-large,,DGHL,encoder_only,True,8,1,0.001,0.3,64,bfloat16,0.5,0.2,0.3,gpu29.int.autonlab.org,9995c6189ff0e025c5d793746f1870e48a4b36cb,Anomaly detection using DGHL,NVIDIA RTX A6000,/zfsauton2/home/XXXX-2/BETT/scripts/baselines/dghl_anomaly_detection.py,scripts/baselines/dghl_anomaly_detection.py,"['--config', '../../configs/anomaly_detection/dghl_train.yaml', '--gpu_id', '4', '--dataset_names', '/XXXX-14/project/public/XXXX-9/TimeseriesDatasets/anomaly_detection/TSB-UAD-Public/KDD21/179_UCR_Anomaly_ltstdbs30791AS_23000_52600_52800.out']",XXXX-2,2024-01-18T10:22:37.802701,/XXXX-14/project/public/XXXX-9/TimeseriesDatasets/anomaly_detection/TSB-UAD-Public/KDD21/179_UCR_Anomaly_ltstdbs30791AS_23000_52600_52800.out
9obbzkl8,lucky-night-778,google/flan-t5-large,,DGHL,encoder_only,True,8,1,0.001,0.3,64,bfloat16,0.4,0.3,0.3,gpu29.int.autonlab.org,9995c6189ff0e025c5d793746f1870e48a4b36cb,Anomaly detection using DGHL,NVIDIA RTX A6000,/zfsauton2/home/XXXX-2/BETT/scripts/baselines/dghl_anomaly_detection.py,scripts/baselines/dghl_anomaly_detection.py,"['--config', '../../configs/anomaly_detection/dghl_train.yaml', '--gpu_id', '4', '--dataset_names', '/XXXX-14/project/public/XXXX-9/TimeseriesDatasets/anomaly_detection/TSB-UAD-Public/KDD21/176_UCR_Anomaly_insectEPG4_1300_6508_6558.out']",XXXX-2,2024-01-18T10:21:44.699154,/XXXX-14/project/public/XXXX-9/TimeseriesDatasets/anomaly_detection/TSB-UAD-Public/KDD21/176_UCR_Anomaly_insectEPG4_1300_6508_6558.out
gogmi8ei,ethereal-haze-777,google/flan-t5-large,,DGHL,encoder_only,True,8,1,0.001,0.3,64,bfloat16,0.5,0.2,0.3,gpu29.int.autonlab.org,9995c6189ff0e025c5d793746f1870e48a4b36cb,Anomaly detection using DGHL,NVIDIA RTX A6000,/zfsauton2/home/XXXX-2/BETT/scripts/baselines/dghl_anomaly_detection.py,scripts/baselines/dghl_anomaly_detection.py,"['--config', '../../configs/anomaly_detection/dghl_train.yaml', '--gpu_id', '4', '--dataset_names', '/XXXX-14/project/public/XXXX-9/TimeseriesDatasets/anomaly_detection/TSB-UAD-Public/KDD21/174_UCR_Anomaly_insectEPG2_3700_8000_8025.out']",XXXX-2,2024-01-18T10:17:52.755042,/XXXX-14/project/public/XXXX-9/TimeseriesDatasets/anomaly_detection/TSB-UAD-Public/KDD21/174_UCR_Anomaly_insectEPG2_3700_8000_8025.out
mzbxifwl,fluent-brook-776,google/flan-t5-large,512.0,AnomalyTransformer,encoder_only,True,8,13,0.0001,0.3,64,bfloat16,0.5,0.2,0.3,gpu29.int.autonlab.org,9995c6189ff0e025c5d793746f1870e48a4b36cb,Anomaly detection using Anomaly Transformer,NVIDIA RTX A6000,/zfsauton2/home/XXXX-2/BETT/scripts/baselines/anomaly_transformer_anomaly_detection.py,scripts/baselines/anomaly_transformer_anomaly_detection.py,"['--config', '../../configs/anomaly_detection/anomaly_transformer_train.yaml', '--gpu_id', '5', '--dataset_names', '/XXXX-14/project/public/XXXX-9/TimeseriesDatasets/anomaly_detection/TSB-UAD-Public/KDD21/163_UCR_Anomaly_apneaecg2_10000_20950_21100.out']",XXXX-2,2024-01-18T10:15:14.674798,/XXXX-14/project/public/XXXX-9/TimeseriesDatasets/anomaly_detection/TSB-UAD-Public/KDD21/163_UCR_Anomaly_apneaecg2_10000_20950_21100.out
2b0rv0h7,good-butterfly-775,google/flan-t5-large,512.0,AnomalyTransformer,encoder_only,True,8,13,0.0001,0.3,64,bfloat16,0.5,0.2,0.3,gpu29.int.autonlab.org,9995c6189ff0e025c5d793746f1870e48a4b36cb,Anomaly detection using Anomaly Transformer,NVIDIA RTX A6000,/zfsauton2/home/XXXX-2/BETT/scripts/baselines/anomaly_transformer_anomaly_detection.py,scripts/baselines/anomaly_transformer_anomaly_detection.py,"['--config', '../../configs/anomaly_detection/anomaly_transformer_train.yaml', '--gpu_id', '5', '--dataset_names', '/XXXX-14/project/public/XXXX-9/TimeseriesDatasets/anomaly_detection/TSB-UAD-Public/KDD21/162_UCR_Anomaly_WalkingAceleration5_2700_5920_5979.out']",XXXX-2,2024-01-18T10:11:59.585259,/XXXX-14/project/public/XXXX-9/TimeseriesDatasets/anomaly_detection/TSB-UAD-Public/KDD21/162_UCR_Anomaly_WalkingAceleration5_2700_5920_5979.out
h86k3w6p,crimson-cherry-774,google/flan-t5-large,512.0,AnomalyTransformer,encoder_only,True,8,13,0.0001,0.3,64,bfloat16,0.5,0.2,0.3,gpu29.int.autonlab.org,9995c6189ff0e025c5d793746f1870e48a4b36cb,Anomaly detection using Anomaly Transformer,NVIDIA RTX A6000,/zfsauton2/home/XXXX-2/BETT/scripts/baselines/anomaly_transformer_anomaly_detection.py,scripts/baselines/anomaly_transformer_anomaly_detection.py,"['--config', '../../configs/anomaly_detection/anomaly_transformer_train.yaml', '--gpu_id', '5', '--dataset_names', '/XXXX-14/project/public/XXXX-9/TimeseriesDatasets/anomaly_detection/TSB-UAD-Public/KDD21/159_UCR_Anomaly_TkeepSecondMARS_3500_9330_9340.out']",XXXX-2,2024-01-18T10:06:54.137407,/XXXX-14/project/public/XXXX-9/TimeseriesDatasets/anomaly_detection/TSB-UAD-Public/KDD21/159_UCR_Anomaly_TkeepSecondMARS_3500_9330_9340.out
zb476qc0,chocolate-shadow-773,google/flan-t5-large,512.0,AnomalyTransformer,encoder_only,True,8,13,0.0001,0.3,64,bfloat16,0.5,0.2,0.3,gpu29.int.autonlab.org,9995c6189ff0e025c5d793746f1870e48a4b36cb,Anomaly detection using Anomaly Transformer,NVIDIA RTX A6000,/zfsauton2/home/XXXX-2/BETT/scripts/baselines/anomaly_transformer_anomaly_detection.py,scripts/baselines/anomaly_transformer_anomaly_detection.py,"['--config', '../../configs/anomaly_detection/anomaly_transformer_train.yaml', '--gpu_id', '5', '--dataset_names', '/XXXX-14/project/public/XXXX-9/TimeseriesDatasets/anomaly_detection/TSB-UAD-Public/KDD21/157_UCR_Anomaly_TkeepFirstMARS_3500_5365_5380.out']",XXXX-2,2024-01-18T10:01:41.234433,/XXXX-14/project/public/XXXX-9/TimeseriesDatasets/anomaly_detection/TSB-UAD-Public/KDD21/157_UCR_Anomaly_TkeepFirstMARS_3500_5365_5380.out
