Methods,,BETTEE,,BETTLP,,GPT2(6),,GPT2(0),,PatchTST,,DLinear,,TimesNet,,FEDformer,,Pyraformer,,Autoformer,,Stationary,,ETSformer,,LightTS,,Informer,,Reformer,,LogTrans,
ILI,24,,,,,2.063,0.881,2.723,1.099,1.319,0.754,2.215,1.081,2.317,0.934,3.228,1.26,1.42,2.012,3.483,1.287,2.294,0.945,2.527,1.02,8.313,2.144,5.764,1.677,4.4,1.382,4.48,1.444
,36,,,,,1.868,0.892,2.027,0.966,1.43,0.834,1.963,0.963,1.972,0.92,2.679,1.08,7.394,2.031,3.103,1.148,1.825,0.848,2.615,1.007,6.631,1.902,4.755,1.467,4.783,1.448,4.799,1.467
,48,,,,,1.79,0.884,2.206,1.022,1.553,0.815,2.13,1.024,2.238,0.94,2.622,1.078,7.551,2.057,2.669,1.085,2.01,0.9,2.359,0.972,7.299,1.982,4.763,1.469,4.832,1.465,4.8,1.468
,60,,,,,1.979,0.957,1.976,0.983,1.47,0.788,2.368,1.096,2.027,0.928,2.857,1.157,7.662,2.1,2.77,1.125,2.178,0.963,2.487,1.016,7.283,1.985,5.264,1.564,4.882,1.483,5.278,1.56
,Avg,,,,,1.925,0.903,2.233,1.017,1.443,0.797,2.169,1.041,2.139,0.931,2.847,1.144,6.007,2.05,3.006,1.161,2.077,0.914,2.497,1.004,7.382,2.003,5.137,1.544,4.724,1.445,4.839,1.485
ECL,96,,,,,0.139,0.238,0.138,0.234,0.129,0.222,0.14,0.237,0.168,0.272,0.193,0.308,0.386,0.449,0.201,0.317,0.169,0.273,0.187,0.304,0.207,0.307,0.274,0.368,0.312,0.402,0.258,0.357
,192,,,,,0.153,0.251,0.152,0.247,0.157,0.24,0.153,0.249,0.184,0.289,0.201,0.315,0.386,0.443,0.222,0.334,0.182,0.286,0.199,0.315,0.213,0.316,0.296,0.386,0.348,0.433,0.266,0.368
,336,,,,,0.169,0.266,0.168,0.263,0.163,0.259,0.169,0.267,0.198,0.3,0.214,0.329,0.378,0.443,0.231,0.338,0.2,0.304,0.212,0.329,0.23,0.333,0.3,0.394,0.35,0.433,0.28,0.38
,720,,,,,0.206,0.297,0.207,0.295,0.197,0.29,0.203,0.301,0.22,0.32,0.246,0.355,0.376,0.445,0.254,0.361,0.222,0.321,0.233,0.345,0.265,0.36,0.373,0.439,0.34,0.42,0.283,0.376
,Avg,,,,,0.167,0.263,0.166,0.259,0.161,0.252,0.166,0.263,0.192,0.295,0.214,0.327,0.382,0.445,0.227,0.338,0.193,0.296,0.208,0.323,0.229,0.329,0.311,0.397,0.338,0.422,0.272,0.37
Traffic,96,,,,,0.388,0.282,0.39,0.272,0.36,0.249,0.41,0.282,0.593,0.321,0.587,0.366,2.085,0.468,0.613,0.388,0.612,0.338,0.607,0.392,0.615,0.391,0.719,0.391,0.732,0.423,0.684,0.384
,192,,,,,0.407,0.29,0.403,0.276,0.379,0.256,0.423,0.287,0.617,0.336,0.604,0.373,0.867,0.467,0.616,0.382,0.613,0.34,0.621,0.399,0.601,0.382,0.696,0.379,0.733,0.42,0.685,0.39
,336,,,,,0.412,0.294,0.413,0.28,0.392,0.264,0.436,0.296,0.629,0.336,0.621,0.383,0.869,0.469,0.622,0.337,0.618,0.328,0.622,0.396,0.613,0.386,0.777,0.42,0.742,0.42,0.734,0.408
,720,,,,,0.45,0.312,0.447,0.298,0.432,0.286,0.466,0.315,0.64,0.35,0.626,0.382,0.881,0.473,0.66,0.408,0.653,0.355,0.632,0.396,0.658,0.407,0.864,0.472,0.755,0.423,0.717,0.396
,Avg,,,,,0.414,0.294,0.413,0.281,0.39,0.263,0.433,0.295,0.62,0.336,0.61,0.376,1.176,0.469,0.628,0.379,0.624,0.34,0.621,0.396,0.622,0.392,0.764,0.416,0.741,0.422,0.705,0.395
Average,,,,,,0.516,0.407,0.573,0.431,0.446,0.386,0.562,0.436,0.596,0.433,0.701,0.489,2.089,1.146,0.757,0.511,0.633,0.465,0.662,0.473,1.303,0.616,1.836,0.871,2.081,0.954,1.592,0.851
