Model name,Dataset ID,Dataset name,Adj. Best F1,rAUCROC,rAUCPR,VUSROC,VUSPR,Run name,ID,Timestamp
BETT_0,186,resperation1,0.0381857820393269,0.5115584650848811,0.0023146277790282,0.5029383751693518,0.0023991829028534,BETT_0,0,16-01-2024 17:13
BETT_0,192,s20101mML2,0.6470540657730458,0.7774825715504372,0.0139058837229819,0.756156612810972,0.0155142799335727,BETT_0,0,16-01-2024 17:13
BETT_0,193,s20101m,0.0,,,,,BETT_0,0,16-01-2024 17:13
BETT_0,194,sddb49,0.99999460002516,0.7120434255947282,0.114962073948447,0.7255932908236822,0.118156067733028,BETT_0,0,16-01-2024 17:13
BETT_0,195,sel840mECG1,0.611565901265495,0.7111420694955527,0.0228951839921653,0.7212746592996132,0.0248177149323483,BETT_0,0,16-01-2024 17:13
BETT_0,196,sel840mECG2,0.3551372329697444,0.7350245646866829,0.0274250509722024,0.7094287108622026,0.0255117817960632,BETT_0,0,16-01-2024 17:13
BETT_0,198,tiltAPB2,0.9595324695371562,0.7611105586872962,0.0359241355254805,0.7463712121347782,0.0346448243435678,BETT_0,0,16-01-2024 17:13
BETT_0,199,tiltAPB3,0.4840727023683447,0.6244624729871384,0.0085259002649094,0.6072584181720031,0.0083154301098298,BETT_0,0,16-01-2024 17:13
BETT_0,205,CHARISfive,0.071173685749601,0.4427175148282178,0.0045250633465174,0.4303750682379397,0.0045247035094375,BETT_0,0,16-01-2024 17:13
BETT_0,207,CHARISten,0.0566796066200485,0.5111576938070923,0.0033865255974394,0.4992220123977574,0.0032523220236753,BETT_0,0,16-01-2024 17:13
BETT_0,209,Fantasia,0.9999946666917776,0.6263696331445826,0.0313839165161546,0.6339071125684282,0.0327552756038847,BETT_0,0,16-01-2024 17:13
BETT_0,212,Italianpowerdemand,0.3902406980219106,0.8009872010690436,0.0080714104171535,0.8020941646262572,0.008203349776328,BETT_0,0,16-01-2024 17:13
BETT_0,223,mit14046longtermecg,0.1878435949400386,0.4095355333576713,0.0053898872938959,0.3997237696743457,0.0053918846485404,BETT_0,0,16-01-2024 17:13
BETT_0,226,mit14046longtermecg,0.9393886731210748,0.9185860467476809,0.0426403720748863,0.9164739756324336,0.0425771109427235,BETT_0,0,16-01-2024 17:13
BETT_0,242,tilt12744mtable,0.1090898732876677,0.6777418234216862,0.0040648120240277,0.671373733800189,0.0040953249363469,BETT_0,0,16-01-2024 17:13
BETT_0,244,tilt12754table,0.5869522471934172,0.7677437941848764,0.0063859802940469,0.7512377520925658,0.0070079461234302,BETT_0,0,16-01-2024 17:13
BETT_0,248,weallwalk,0.9090842975505634,0.997969934885031,0.1266733736767181,0.9974763592309676,0.1219583464882371,BETT_0,0,16-01-2024 17:13
BETT_0,250,weallwalk,0.1395335532823989,0.8932250066096846,0.0076610557334431,0.871164190129655,0.0077600818731219,BETT_0,0,16-01-2024 17:13
